"2016 ALMOND ACREAGE BY COUNTY, BY YEAR PLANTED 1987-2016 plus bearing vs. non bearing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acres standing in 2016,Acres standing in 2016,Acres standing in 2016
refer to original pdf for details regarding bearing and non bearing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,Bearing,Nonbearing,Total
Butte,"4,027",333,163,570,424,921,494,790,"1,689","2,425","1,417","1,797","1,090","1,679",958,739,870,"1,550","1,291","1,381",518,620,910,"1,464",949,760,332,493,441,682,,"30,159","1,615","31,775"
Calaveras,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,0,11
Colusa,"1,727",103,525,577,126,138,863,"1,317","1,089",851,"1,451","2,038","1,822","1,270","1,862",750,"2,110","2,591","5,123","3,656","2,017","1,112","2,421",970,"2,104",985,980,"1,112","1,565",613,,"40,576","3,290","43,866"
ContraCosta,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,,14,13,27
Fresno,"3,631",210,814,"2,684",510,661,"1,504","2,172","3,925","3,443","5,397","4,299","5,550","4,849","3,915","3,216","4,441","7,687","11,662","11,555","5,073","4,457","3,459","3,857","5,262","4,082","4,365","5,177","7,559","4,412",,"112,678","17,147","129,826"
Glenn,"1,179",85,340,322,244,281,567,"2,125","2,391","1,791",735,"3,167","3,024","1,738","1,558","1,049",806,"1,956","1,656","2,979",982,"1,007","1,361",823,693,752,871,751,576,748,,"34,481","2,075","36,555"
Kern,"1,413",293,590,"1,612",963,543,"2,992","3,932","4,724","4,422","6,601","12,369","9,933","4,100","1,974","1,691","1,856","13,062","19,898","14,720","5,414","5,926","3,565","3,497","5,744","2,251","4,022","4,668","2,991","3,195",,"138,104","10,854","148,958"
Kings,46,0,17,0,0,0,25,44,95,30,53,"1,344",108,145,620,36,18,449,667,"1,269",388,807,563,444,241,128,236,184,"1,998",766,,"7,773","2,948","10,720"
Madera,"5,603",658,499,874,"1,031",828,"1,290","2,086","2,292","3,028","3,544","3,003","1,457","1,294","2,130","1,295","2,768","4,957","4,846","6,511","7,093","6,057","7,425","3,356","3,255","3,462","4,147","3,996","3,180","3,066",,"84,787","10,242","95,029"
Merced,"9,269","1,179","1,454","1,557","1,626","2,000","1,474","3,841","4,257","4,203","4,823","5,115","3,516","3,753","2,689","2,673","3,614","5,454","6,234","7,128","4,999","4,402","2,804","3,164","2,835","3,499","2,362","3,861","3,889","1,934",,"99,922","9,684","109,606"
Placer,16,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,,46,0,46
Riverside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,,230,0,230
Sacramento,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,15,65,253,,33,333,365
SanJoaquin,"4,189",459,305,709,316,610,910,"1,029","1,238","1,661","1,176","1,761","1,498","1,685","1,463","1,071","1,129","1,699","1,778","1,346","1,459","1,738","1,201","1,029","1,741","1,514","2,029","1,725","1,797","1,125",,"36,741","4,647","41,388"
SanLuisObisp,722,3,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,738,0,738
SantaClara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,,47,0,47
Solano,264,40,0,0,0,0,0,35,151,110,151,166,193,196,91,154,33,72,243,296,57,32,144,51,55,32,190,491,394,77,,"2,757",962,"3,719"
Stanislaus,"8,186","1,186","1,122","2,073","1,785","2,449","2,098","4,599","4,212","3,071","5,100","6,051","4,282","3,555","2,910","4,066","2,622","4,970","9,513","5,395","3,929","5,506","4,246","3,979","3,470","3,793","3,951","3,560","3,079","1,595",,"108,115","8,234","116,349"
Sutter,735,14,56,16,63,36,108,84,70,126,328,558,349,154,117,87,73,238,419,431,178,121,87,287,119,61,17,132,319,37,,"4,931",489,"5,419"
Tehama,604,29,11,0,40,11,212,256,288,415,250,566,428,306,190,387,449,514,364,404,208,136,266,772,180,354,18,371,167,495,,"7,657","1,032","8,690"
Tulare,688,0,165,55,240,574,330,373,578,866,689,706,"1,267",749,342,624,721,"1,175","3,357","2,856","1,325","1,457",992,"2,037","1,618","1,192","1,164","1,563","1,986","1,415",,"26,137","4,964","31,101"
Yolo,"1,704",39,52,21,24,16,62,32,229,423,344,284,309,222,271,197,165,"1,362",456,513,352,433,418,494,780,501,636,722,"1,168",381,,"10,337","2,271","12,609"
Yuba,3,0,0,0,0,0,0,0,0,125,0,166,118,0,27,67,0,81,0,165,0,19,0,6,30,0,0,25,45,0,,807,70,876
AllOthers,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,5
StateTotal,"44,037","4,631","6,112","11,070","7,393","9,068","12,926","22,715","27,227","26,989","32,060","43,395","34,944","25,701","21,116","18,099","21,674","47,822","67,506","60,606","33,991","34,130","29,862","26,229","29,097","23,366","25,319","28,844","31,232","20,794",,"747,084","80,870","827,953"
