Year,Commodity_Code,Crop_Name,County_Code,County,Harvested,Yield,Production,Price,Unit,Value
1980,261999,ALMONDS ALL ,29,Kern,61040,0.8,49100,2860,TONS ,140426000
1981,261999,ALMONDS ALL ,29,Kern,61592,0.65,40200,1461,TONS ,58740000
1982,261999,ALMONDS ALL ,29,Kern,61247,0.7,43000,1699,TONS ,73051000
1983,261999,ALMONDS ALL ,29,Kern,66804,0.61,40500,2301,TONS ,93191000
1984,261999,ALMONDS ALL ,29,Kern,70946,0.92,65400,1459,TONS ,95431000
1985,261999,ALMONDS ALL ,29,Kern,77501,0.61,46900,1250,TONS ,58614000
1986,261999,ALMONDS ALL ,29,Kern,79481,0.51,40332,4000,TON ,161328000
1987,261999,ALMONDS ALL ,29,Kern,74157,0.93,69000,2020,TONS ,139380000
1988,261999,ALMONDS ALL ,29,Kern,72910,0.89,65000,2000,TON ,130000000
1989,261999,ALMONDS ALL ,29,Kern,71905,0.88,63000,2200,TONS ,138600000
1990,261999,ALMONDS ALL ,29,Kern,73526,0.85,62300,1719,TONS ,107106000
1991,261999,ALMONDS ALL ,29,Kern,66811,0.79,52800,2319,TONS ,122452000
1992,261999,ALMONDS ALL ,29,Kern,69474,0.67,46600,2367,TONS ,110318000
1993,261999,ALMONDS ALL ,29,Kern,71574,0.69,49400,3859,TONS ,190630000
1994,261999,ALMONDS ALL ,29,Kern,72591,0.98,71100,2598,TONS ,184703000
1995,261999,ALMONDS ALL ,29,Kern,67638,0.48,32200,5000,TONS ,161012000
1996,261999,ALMONDS ALL ,29,Kern,73383,0.64,47200,4065,TONS ,191860000
1997,261999,ALMONDS ALL ,29,Kern,72620,0.83,60600,3058,TONS ,185336000
1998,261999,ALMONDS ALL ,29,Kern,79587,0.62,49300,3205,TONS ,157984000
1999,261999,ALMONDS ALL ,29,Kern,88947,0.88,78400,1711,TON ,134161000
2000,261999,ALMONDS ALL ,29,Kern,82572,0.78,64800,2041,TON ,132264000
2001,261999,ALMONDS ALL ,29,Kern,100252,0.87,87300,1780,TONS ,155427000
2002,261999,ALMONDS ALL ,29,Kern,94067,1.15,108000,2082,TON ,224862000
2003,261999,ALMONDS ALL ,29,Kern,89936,1.14,102300,2610.57,TON ,267061000
2004,261999,ALMONDS ALL ,29,Kern,89800,1.16,104100,4024.22,TON ,418921000
2005,261999,ALMONDS ALL ,29,Kern,93500,1.06,99300,5776.35,TONS ,573592000
2006,261999,ALMONDS ALL ,29,Kern,101000,1.18,118800,4003.03,TONS ,475560000
2007,261999,ALMONDS ALL ,29,Kern,118000,1.03,122000,3415.07,TONS ,416639000
2008,261999,ALMONDS ALL ,29,Kern,132000,1.21,160000,2203.58,TON ,352573000
2009,261999,ALMONDS ALL ,29,Kern,134000,1.01,135000,3000.37,Tons ,405050000
2010,261999,ALMONDS ALL ,29,Kern,141000,1.31,185000,3236.61,Tons ,598773000
2011,261999,ALMONDS ALL ,29,Kern,147000,1.28,188000,3673.46,Tons ,690610000
2012,261999,ALMONDS ALL ,29,Kern,144000,1.13,163000,4768.75,Tons ,777306000
2013,261999,ALMONDS ALL,29,Kern,147000.0,1.14,168000.0,5492.1,tons,922672000
2014,261999,ALMONDS ALL,29,Kern,199000.0,1.01,201000.0,7124.87,Tons,1432099000
2015,261999,ALMONDS ALL,29,Kern,210000.0,0.94,197000.0,7379.97,Tons,1453855000
