DATE,PCPI06019,PI06019,CAFRES9POP,ATNHPIUS06019A
1969,3675,1500506,,
1970,3983,1652657,413.329,
1971,4237,1799513,424.7,
1972,4713,2035429,431.9,
1973,5311,2336200,439.9,
1974,6082,2736168,449.9,
1975,6371,2957347,464.2,29.39
1976,7100,3387959,477.2,33.96
1977,7399,3618410,489.0,40.95
1978,8110,4035414,497.6,49.87
1979,9456,4787737,506.3,57.92
1980,10682,5529740,514.621,63.37
1981,10946,5789241,528.891,68.04
1982,11243,6087889,541.5,70.15
1983,11532,6410514,555.873,66.27
1984,12393,7089714,572.091,66.82
1985,13037,7614794,584.07,67.53
1986,13700,8132396,593.621,69.41
1987,14605,8891993,608.831,71.09
1988,15213,9548499,627.658,72.28
1989,15921,10360717,650.755,76.62
1990,16775,11277596,672.302,83.65
1991,17069,11804630,691.569,91.51
1992,17693,12566945,710.263,94.56
1993,18302,13303020,726.8589999999999,94.44
1994,18408,13619111,739.835,92.68
1995,18909,14173048,749.534,91.51
1996,19454,14812681,761.409,91.42
1997,19723,15214370,771.3910000000001,91.29
1998,20693,16112084,778.615,93.91
1999,21496,16968955,789.405,95.34
2000,22788,18259481,801.331,100.0
2001,23403,19027073,812.195,108.61
2002,24596,20408455,828.051,122.83
2003,26002,22028497,844.425,139.62
2004,27414,23604241,856.96,173.2
2005,28165,24573043,867.097,217.44
2006,29629,26187819,877.4060000000001,243.37
2007,30654,27464050,889.127,230.26
2008,31249,28424636,902.311,184.63
2009,30823,28403105,913.555,147.82
2010,31607,29471941,932.4630000000001,140.72
2011,33327,31343736,940.4960000000001,127.95
2012,34264,32443083,946.8439999999999,126.96
2013,34820,33209542,953.762,139.01
2014,36909,35548590,963.1510000000001,156.53
2015,39124,38033925,972.13,164.74
2016,40101,39295335,979.915,173.94
