Year,Percapita_Personal_Income,Personal_Income,Resident_Population,House_Price_Index
1969,3911,1273119,,
1970,4100,1356435,330.23400000000004,
1971,4355,1464105,336.2,
1972,4727,1592117,336.8,
1973,5292,1815118,343.0,
1974,6241,2152111,344.8,
1975,6550,2337539,356.9,33.46
1976,7509,2755229,366.9,40.26
1977,7823,2911878,372.2,46.87
1978,8493,3210154,378.0,54.08
1979,9725,3823827,393.2,60.69
1980,11043,4488004,403.089,65.67
1981,11470,4804726,418.87699999999995,71.38
1982,12048,5225068,433.69800000000004,75.38
1983,12177,5442616,446.961,76.5
1984,13070,6004689,459.411,77.84
1985,13584,6441974,474.24300000000005,79.9
1986,14147,6878521,486.217,82.12
1987,14339,7139426,497.91,81.32
1988,15314,7825063,510.98,82.29
1989,15806,8344297,527.922,85.79
1990,16486,9059529,549.535,92.36
1991,16964,9658432,569.346,97.57
1992,17193,10142185,589.8969999999999,100.5
1993,17715,10626091,599.8430000000001,99.57
1994,17681,10868451,614.707,96.81
1995,18168,11267528,620.201,93.43
1996,18960,11882401,626.719,92.95
1997,19252,12218841,634.695,92.23
1998,20148,12955184,643.016,96.18
1999,20275,13288908,655.428,96.77
2000,21197,14070756,663.487,100.0
2001,22310,15094584,673.945,107.23
2002,23262,16145152,688.9910000000001,116.85
2003,24118,17226562,706.5160000000001,129.68
2004,25377,18685044,725.4730000000001,162.39
2005,26478,20142158,746.7180000000001,214.88
2006,27713,21741321,767.3919999999999,247.19
2007,29116,23388190,783.566,235.92
2008,29745,24341047,795.921,181.69
2009,29054,24119047,804.9889999999999,141.41
2010,30705,25843995,841.676,131.95
2011,32517,27622917,849.4839999999999,121.91
2012,34447,29480121,855.808,125.28
2013,35093,30336210,864.454,142.05
2014,37090,32347235,872.138,161.67
2015,37846,33285162,879.497,169.02
2016,37714,33368619,884.788,174.43
