Year,January_t,February_t,March_t,April_t,May_t,June_t,July_t,August_t,September_t,October_t,November_t,December_t,Annual_t
1980.0,49.4,53.8,53.7,61.8,67.2,73.7,84.0,80.7,75.6,68.4,54.2,46.8,64.1
1981.0,47.9,52.0,54.5,63.2,70.9,82.8,84.9,82.9,76.5,61.4,55.4,47.7,65.0
1982.0,41.7,50.5,51.4,58.0,69.3,72.9,81.0,80.4,72.3,65.0,51.1,45.4,61.6
1983.0,45.2,53.1,55.9,57.9,69.7,76.3,79.0,82.1,78.8,68.5,54.6,51.1,64.4
1984.0,47.8,50.7,58.4,60.8,74.8,77.5,87.0,83.5,81.0,62.4,53.6,46.5,65.3
1985.0,43.3,51.3,53.1,67.2,69.4,81.8,86.0,80.5,72.3,65.0,52.5,43.8,63.8
1986.0,53.6,55.7,60.3,62.7,71.2,79.4,81.9,84.2,71.3,66.9,56.7,47.5,66.0
1987.0,45.3,52.8,55.6,66.7,71.8,78.4,77.0,80.2,75.5,70.1,52.3,44.2,64.2
1988.0,46.0,52.2,56.8,61.6,67.0,75.6,85.5,81.2,76.4,68.7,54.3,44.5,64.2
1989.0,42.9,48.8,57.9,67.3,69.6,77.0,82.5,79.3,74.3,65.3,54.3,43.8,63.6
1990.0,45.5,48.0,57.3,65.7,68.1,76.8,84.0,80.6,75.8,67.7,52.9,41.5,63.7
1991.0,47.0,55.8,51.5,59.5,66.1,74.7,83.8,78.6,79.9,70.5,55.8,47.0,64.2
1992.0,42.7,55.5,58.8,66.8,76.0,77.0,81.3,83.2,77.0,68.6,54.3,45.3,65.5
1993.0,47.1,51.9,60.3,61.7,69.9,75.7,80.2,79.7,75.7,67.8,53.9,45.6,64.1
1994.0,46.9,49.9,59.3,63.2,68.5,77.7,83.3,82.3,75.3,64.7,48.1,45.3,63.7
1995.0,51.9,54.1,56.2,60.7,66.2,73.3,80.7,82.6,76.3,66.8,58.7,50.5,64.8
1996.0,48.3,54.2,57.2,63.6,69.9,77.8,85.4,83.4,74.8,64.1,53.9,49.1,65.1
1997.0,48.7,50.3,60.0,63.5,75.3,75.8,81.3,80.6,77.3,63.8,56.9,44.7,64.9
1998.0,49.0,50.0,55.5,59.0,62.0,71.5,82.1,84.1,75.8,63.1,53.1,42.8,62.3
1999.0,44.7,49.9,53.5,58.5,68.0,75.9,80.6,78.4,77.3,68.7,56.9,47.0,63.3
2000.0,50.2,53.8,56.5,64.2,71.0,79.8,78.8,81.2,74.5,63.9,49.2,47.8,64.2
2001.0,46.2,48.7,58.8,58.6,77.3,79.7,81.6,81.9,77.0,68.5,56.4,47.4,65.2
2002.0,45.0,52.2,55.1,62.8,69.6,78.1,84.1,80.0,77.1,65.2,56.2,49.3,64.6
2003.0,50.6,51.1,58.1,58.6,69.5,78.4,86.5,81.4,79.2,69.8,52.2,49.3,65.4
2004.0,46.5,50.5,62.6,65.8,70.9,77.4,83.3,81.3,75.9,64.1,51.7,46.5,64.7
2005.0,47.4,54.4,57.8,59.6,69.4,73.6,86.8,84.0,73.9,65.9,57.6,51.0,65.1
2006.0,48.7,52.4,50.1,59.7,71.9,80.7,87.9,80.2,75.8,64.0,55.4,47.1,64.5
2007.0,43.7,51.4,60.3,63.0,71.5,78.0,83.2,82.8,73.7,64.4,57.4,45.5,64.6
2008.0,47.0,51.1,57.0,61.7,70.3,79.1,83.8,84.1,78.0,67.1,57.5,44.9,65.1
2009.0,47.7,51.5,56.0,62.0,75.3,75.7,85.0,81.8,79.7,63.7,54.1,47.2,65.0
2010.0,48.6,52.2,55.5,57.7,65.2,77.6,83.1,79.9,76.9,68.0,53.8,50.9,64.1
2011.0,46.6,49.2,55.4,60.7,65.1,75.0,82.0,82.4,80.3,68.0,53.5,45.6,63.7
2012.0,49.3,52.7,56.2,63.0,72.3,77.8,83.4,86.5,81.3,69.1,58.3,50.8,66.7
2013.0,47.1,51.0,62.1,67.6,73.0,80.9,87.1,83.0,77.8,66.6,58.5,47.3,66.9
2014.0,53.2,56.8,62.4,66.8,74.2,80.9,86.9,84.4,80.7,72.0,57.7,51.9,69.1
2015.0,49.0,57.0,64.0,64.3,68.5,82.0,83.1,82.4,78.7,71.3,52.0,45.8,66.5
